"Sample Plan (Id) / Plan d'échantillonage (Id)","Sampling Plan - Description / Plan d'échantillonage - Description","Date Sampled (YYYY/MM/DD) / Date d'échantillonage (AAAA/MM/JJ)","System ID / ID Système","Product Description / Description du Produit","Organic? / Biologique?","Country of Origin / Pays d'Origine","Function / Fonction","Analysis Type - Description / Type d'Analyse - Description","Method Number / No de Méthode","Value Text / Valeur textuelle","Unit / Unité","Analysis Assessment / Évaluation de l'Analyse"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-29","B2014CMAX00634","Mini","No / Non","MEXICO / Mexique","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-29","B2014CMAX00634","Mini","No / Non","MEXICO / Mexique","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-29","B2014CMAX00634","Mini","No / Non","MEXICO / Mexique","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-29","B2014CMAX00634","Mini","No / Non","MEXICO / Mexique","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-30","B2014CMAX00635","Field / De Champs","No / Non","MEXICO / Mexique","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-30","B2014CMAX00635","Field / De Champs","No / Non","MEXICO / Mexique","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-30","B2014CMAX00635","Field / De Champs","No / Non","MEXICO / Mexique","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-30","B2014CMAX00635","Field / De Champs","No / Non","MEXICO / Mexique","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-07","B2014CMAX00636","Field / De Champs","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-07","B2014CMAX00636","Field / De Champs","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-07","B2014CMAX00636","Field / De Champs","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-07","B2014CMAX00636","Field / De Champs","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-07","B2014CMAX00637","Field / De Champs","No / Non","MEXICO / Mexique","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-07","B2014CMAX00637","Field / De Champs","No / Non","MEXICO / Mexique","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-07","B2014CMAX00637","Field / De Champs","No / Non","MEXICO / Mexique","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-07","B2014CMAX00637","Field / De Champs","No / Non","MEXICO / Mexique","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-29","B2014CMAX00638","Slicing / Long","Yes / Oui","MEXICO / Mexique","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-29","B2014CMAX00638","Slicing / Long","Yes / Oui","MEXICO / Mexique","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-29","B2014CMAX00638","Slicing / Long","Yes / Oui","MEXICO / Mexique","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-29","B2014CMAX00638","Slicing / Long","Yes / Oui","MEXICO / Mexique","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
